======= Running File: classifierLSTMnSVM.py =======
Reading Configuration from command line argument: D:\atili\MMIExt\Python Projects\Thesis02wDL\confFiles\conf40.txt
Total of 1 configuration(s) will be run
============ Config: 1/1 === Start Time: 2019.11.04 09:05:26 =======================================
Parameters: inputFolder : D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
sampRate : 48
featureMode : Freqs
channelMode : Front
classificationMode : Speaker
trainingEpoch : 400
stepSize : 0
batchSize : 64
lengthCut : 600
learningRate : 0.001
lossFunction : CatCrosEnt
optimizer : Adam
clsModel : LSTM
clsVersion : 1
Loading from Previous Data Files...
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_inputs_Freqs_Front_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labels_Freqs_Front_Speaker_0_48_600_True.dat
Loaded: D:/atili/MMIExt/Audacity/METU Recordings/Dataset/tempDataStorage/allSmall_labelDict_Freqs_Front_Speaker_0_48_600_True.dat
Inputs Shape: (1989, 28800, 9)

Total of 1989 inputs loaded @ D:/atili/MMIExt/Audacity/METU Recordings/Dataset/allSmall/
Total of 20 classes
1591 steps for training, 398 steps for test
Splitting Train and Test Data...
------Model for Freqs------
---LSTM Classifier---
Train Batch: (1591, 28800, 9)
Test Batch: (398, 28800, 9)
Classifier Version: 1
Model Layer Parameters:
Name: conv1d_1, Filters: 8, Kernel Size: (48,), Strides: (12,), Activation: relu.
Name: conv1d_2, Filters: 16, Kernel Size: (36,), Strides: (6,), Activation: relu.
Name: conv1d_3, Filters: 32, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: conv1d_4, Filters: 64, Kernel Size: (24,), Strides: (2,), Activation: relu.
Name: lstm_1, Units: 64, Activation: tanh.
Name: lstm_2, Units: 32, Activation: relu.
Optimizer: <keras.optimizers.Adam object at 0x000001C79F358400>
Learning Rate: 0.001
Loss func: <function categorical_crossentropy at 0x000001C794605950>
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
conv1d_1 (Conv1D)            (None, 2397, 8)           3464      
_________________________________________________________________
conv1d_2 (Conv1D)            (None, 394, 16)           4624      
_________________________________________________________________
conv1d_3 (Conv1D)            (None, 186, 32)           12320     
_________________________________________________________________
conv1d_4 (Conv1D)            (None, 82, 64)            49216     
_________________________________________________________________
lstm_1 (LSTM)                (None, 82, 64)            33024     
_________________________________________________________________
lstm_2 (LSTM)                (None, 32)                12416     
_________________________________________________________________
dense_1 (Dense)              (None, 20)                660       
=================================================================
Total params: 115,724
Trainable params: 115,724
Non-trainable params: 0
_________________________________________________________________

Training:
Epoch #1: Loss:2.9833, Accuracy:0.0811, Validation Loss:2.9482, Validation Accuracy:0.0980
Epoch #2: Loss:2.9531, Accuracy:0.1025, Validation Loss:2.9196, Validation Accuracy:0.0905
Epoch #3: Loss:2.8669, Accuracy:0.1031, Validation Loss:2.8731, Validation Accuracy:0.0829
Epoch #4: Loss:2.8573, Accuracy:0.0867, Validation Loss:2.8506, Validation Accuracy:0.0879
Epoch #5: Loss:2.8023, Accuracy:0.1069, Validation Loss:2.8383, Validation Accuracy:0.0879
Epoch #6: Loss:2.7954, Accuracy:0.1106, Validation Loss:2.8310, Validation Accuracy:0.0905
Epoch #7: Loss:2.7975, Accuracy:0.1069, Validation Loss:2.8330, Validation Accuracy:0.1005
Epoch #8: Loss:2.7766, Accuracy:0.1150, Validation Loss:2.8277, Validation Accuracy:0.0879
Epoch #9: Loss:2.7628, Accuracy:0.1157, Validation Loss:2.8129, Validation Accuracy:0.0905
Epoch #10: Loss:2.7584, Accuracy:0.1075, Validation Loss:2.8307, Validation Accuracy:0.0879
Epoch #11: Loss:2.7544, Accuracy:0.1075, Validation Loss:2.8157, Validation Accuracy:0.0854
Epoch #12: Loss:2.7544, Accuracy:0.1163, Validation Loss:2.8127, Validation Accuracy:0.0879
Epoch #13: Loss:2.7460, Accuracy:0.1062, Validation Loss:2.8139, Validation Accuracy:0.0879
Epoch #14: Loss:2.7479, Accuracy:0.1075, Validation Loss:2.8134, Validation Accuracy:0.0980
Epoch #15: Loss:2.7482, Accuracy:0.1075, Validation Loss:2.8261, Validation Accuracy:0.0955
Epoch #16: Loss:2.7407, Accuracy:0.1131, Validation Loss:2.8150, Validation Accuracy:0.0879
Epoch #17: Loss:2.7383, Accuracy:0.1226, Validation Loss:2.8082, Validation Accuracy:0.0879
Epoch #18: Loss:2.7518, Accuracy:0.1150, Validation Loss:2.8376, Validation Accuracy:0.1005
Epoch #19: Loss:2.7706, Accuracy:0.1157, Validation Loss:2.8302, Validation Accuracy:0.1030
Epoch #20: Loss:2.9039, Accuracy:0.1031, Validation Loss:2.8438, Validation Accuracy:0.1106
Epoch #21: Loss:2.7790, Accuracy:0.1125, Validation Loss:2.8212, Validation Accuracy:0.0905
Epoch #22: Loss:2.7587, Accuracy:0.1050, Validation Loss:2.8247, Validation Accuracy:0.0879
Epoch #23: Loss:2.7468, Accuracy:0.1106, Validation Loss:2.8204, Validation Accuracy:0.0980
Epoch #24: Loss:2.7474, Accuracy:0.1213, Validation Loss:2.8291, Validation Accuracy:0.1030
Epoch #25: Loss:2.7371, Accuracy:0.1106, Validation Loss:2.8225, Validation Accuracy:0.0980
Epoch #26: Loss:2.7306, Accuracy:0.1169, Validation Loss:2.8257, Validation Accuracy:0.1080
Epoch #27: Loss:2.7270, Accuracy:0.1163, Validation Loss:2.8200, Validation Accuracy:0.1005
